Entry	Date	Description	Documents
27	2026-03-09	MOTION to File Amicus Curiae Brief filed by Foundation for Individual Rights and Expression, Electronic Frontier Foundation, Cato Institute, Chamber of Progress, First Amendment Lawyers Association. Responses due by 3/23/2026. Replies due by 3/30/2026. (Attachments: # 1 Exhibit Amicus Brief, # 2 Proposed Order Proposed Order)(Bennett, Addison) (Filed on 3/9/2026) (Entered: 03/09/2026)	Motion to File Amicus Curiae Brief || Exhibit Amicus Brief || Proposed Order Proposed Order
28	2026-03-09	NOTICE of Appearance filed by Addison W. Bennett on behalf of Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association, Foundation for Individual Rights and Expression (Bennett, Addison) (Filed on 3/9/2026) (Entered: 03/09/2026)	Notice of Appearance/Substitution/Withdrawal of Attorney
29	2026-03-10	NOTICE of Appearance filed by James William Harlow on behalf of Paul S. Atkins, Scott Bessent, Frank J. Bisigano, Mary Anne Carter, Douglas A. Collins, Executive Office of the President, Federal Housing Finance Agency, Federal Reserve Board of Governors, Edward C. Forst, General Services Administration, Peter B. Hegseth, Jared Isaacman, Robert F. Kennedy, Jr, Scott Kupor, Howard Lutnick, National 	Notice of Appearance/Substitution/Withdrawal of Attorney
30	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21738632.) filed by Employees of OpenAI and Google in Their Personal Capacities. (Attachments: # 1 Exhibit - Certificate of Good Standing)(El-Mallawany, Deana) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice || Exhibit - Certificate of Good Standing
31	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21738673.) filed by Employees of OpenAI and Google in Their Personal Capacities. (Attachments: # 1 Exhibit - Certificate of Good Standing)(Lev, Ori) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice || Exhibit - Certificate of Good Standing
32	2026-03-10	MOTION for leave to appear in Pro Hac Vice Sharmistha Das ( Filing fee $ 328, receipt number ACANDC-21738767.) filed by Microsoft Corporation. (Das, Sharmistha) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
33	2026-03-10	MOTION for leave to appear in Pro Hac Vice Matthew F. Ferraro ( Filing fee $ 328, receipt number ACANDC-21738897.) filed by Microsoft Corporation. (Ferraro, Matthew) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
34	2026-03-10	ADMINISTRATIVE MOTION LEAVE TO FILE BRIEF OF AMICUS CURIAE filed by Microsoft Corporation. Responses due by 3/16/2026. (Attachments: # 1 Exhibit 1, # 2 Proposed Order RE ADMINISTRATIVE MOTION FOR LEAVE TO FILE AN AMICUS CURIAE BRIEF IN SUPPORT OF PLAINTIFFS MOTION FOR A TEMPORARY RESTRAINING ORDER)(Parker, Warrington) (Filed on 3/10/2026) (Entered: 03/10/2026)	Administrative Motion per Civil Local Rule 7-11 || Exhibit 1 || Proposed Order RE ADMINISTRATIVE MOTION FOR LEAVE TO FILE AN AMICUS CURIAE BRIEF
35	2026-03-10	ORDER by Judge Rita F. Lin granting 30 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/10/2026) (Entered: 03/10/2026)	Order on Motion for Pro Hac Vice
36	2026-03-10	ORDER by Judge Rita F. Lin granting 31 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/10/2026) (Entered: 03/10/2026)	Order on Motion for Pro Hac Vice
37	2026-03-10	ORDER by Judge Rita F. Lin granting 32 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/10/2026) (Entered: 03/10/2026)	Order on Motion for Pro Hac Vice
38	2026-03-10	Minute Entry for proceedings held before Judge Rita F. Lin: Status Conference re: TRO held on 3/10/2026. Preliminary Injunction Motion Hearing set for 3/24/2026 01:30 PM in San Francisco, Courtroom 15, 18th Floor before Judge Rita F. Lin. Opposition due 3/17/2026; reply due 3/20/2026. Court granted 30 pages for Opposition and 20 pages for Reply. Total Time in Court: 3:00 - 3:21 = 21 Minutes. Court	Status Conference
39	2026-03-10	NOTICE of Appearance filed by Clara J. Shin on behalf of Former Service Secretaries and Retired Senior Military Officers (Shin, Clara) (Filed on 3/10/2026) (Entered: 03/10/2026)	Notice of Appearance/Substitution/Withdrawal of Attorney
40	2026-03-10	Consent MOTION to File Amicus Curiae Brief filed by Former Service Secretaries and Retired Senior Military Officers. Responses due by 3/24/2026. Replies due by 3/31/2026. (Attachments: # 1 Proposed Brief of Amici, # 2 Proposed Order)(Shin, Clara) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion to File Amicus Curiae Brief || Proposed Brief of Amici || Proposed Order
41	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21741598.) filed by Former Service Secretaries and Retired Senior Military Officers. (Harrington, Sarah) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
42	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21741622.) filed by Former Service Secretaries and Retired Senior Military Officers. (Zionts, David) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
43	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21741639.) filed by Former Service Secretaries and Retired Senior Military Officers. (Berengaut, Alexander) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
44	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21741668.) filed by Former Service Secretaries and Retired Senior Military Officers. (Jain, Mishi) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
45	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21741678.) filed by Former Service Secretaries and Retired Senior Military Officers. (Crowley, Megan) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
46	2026-03-10	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21741689.) filed by Former Service Secretaries and Retired Senior Military Officers. (Ujayli, Laila) (Filed on 3/10/2026) (Entered: 03/10/2026)	Motion for Pro Hac Vice
47	2026-03-11	TRANSCRIPT ORDER for proceedings held on 03/10/2026 before Judge Rita F. Lin by Anthropic PBC, for Court Reporter Ana Dub. (Mongan, Michael) (Filed on 3/11/2026) (Entered: 03/11/2026)	Transcript Order
48	2026-03-11	ORDER by Judge Rita F. Lin granting 41 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/11/2026) (Entered: 03/11/2026)	Order on Motion for Pro Hac Vice
49	2026-03-11	ORDER by Judge Rita F. Lin granting 42 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/11/2026) (Entered: 03/11/2026)	Order on Motion for Pro Hac Vice
50	2026-03-11	ORDER by Judge Rita F. Lin granting 43 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/11/2026) (Entered: 03/11/2026)	Order on Motion for Pro Hac Vice
51	2026-03-11	ORDER by Judge Rita F. Lin granting 44 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/11/2026) (Entered: 03/11/2026)	Order on Motion for Pro Hac Vice
52	2026-03-11	ORDER by Judge Rita F. Lin granting 45 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/11/2026) (Entered: 03/11/2026)	Order on Motion for Pro Hac Vice
53	2026-03-11	ORDER by Judge Rita F. Lin granting 46 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/11/2026) (Entered: 03/11/2026)	Order on Motion for Pro Hac Vice
54	2026-03-11	ADMINISTRATIVE MOTION OF ALAN Z. ROZENSHTEIN FOR LEAVE TO FILE AS AMICUS CURIAE A BRIEF IN SUPPORT OF PLAINTIFFS MOTION FOR A TEMPORARY RESTRAINING ORDER, PRELIMINARY INJUNCTION, OR SECTION 705 STAY -(UNOPPOSED) filed by Alan Z Rozenshtein. Responses due by 3/16/2026. (Attachments: # 1 Exhibit [PROPOSED] BRIEF OF AMICUS CURIAE ALAN Z. ROZENSHTEIN IN SUPPORT OF PLAINTIFFS MOTION FOR A TEMPORARY RES	Administrative Motion per Civil Local Rule 7-11 || Exhibit [PROPOSED] BRIEF OF AMICUS CURIAE ALAN Z. ROZENSHTEIN IN SUPPORT OF PLAI || Proposed Order
56	2026-03-12	NOTICE of Appearance filed by Paul Steven Jasper on behalf of Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association, Foundation for Individual Rights and Expression (Jasper, Paul) (Filed on 3/12/2026) (Entered: 03/12/2026)	Notice of Appearance/Substitution/Withdrawal of Attorney
57	2026-03-12	Transcript of Remote Zoom Video Conference Proceedings held on March 10, 2026, before Judge Rita F. Lin. Stenographic Court Reporter Ana Dub, RDR, CRR, telephone number 415-290-1651, ana_dub@cand.uscourts.gov. Per General Order No. 59 and Judicial Conference policy, this transcript may be viewed only at the Clerk's Office public terminal or may be purchased through the Court Reporter until the dea	Transcript
58	2026-03-12	Brief of Amici Curiae filed byFormer Service Secretaries and Retired Senior Military Officers. (Shin, Clara) (Filed on 3/12/2026) (Entered: 03/12/2026)	Brief
59	2026-03-12	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21750142.) filed by Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association, Foundation for Individual Rights and Expression. (Grant, Sarah) (Filed on 3/12/2026) (Entered: 03/12/2026)	Motion for Pro Hac Vice
60	2026-03-12	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21750305.) filed by Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association, Foundation for Individual Rights and Expression. (Shah, Sopen) (Filed on 3/12/2026) (Entered: 03/12/2026)	Motion for Pro Hac Vice
61	2026-03-13	ORDER by Judge Rita F. Lin denying 59 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/13/2026) (Entered: 03/13/2026)	Order on Motion for Pro Hac Vice
62	2026-03-13	ORDER by Judge Rita F. Lin denying 60 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/13/2026) (Entered: 03/13/2026)	Order on Motion for Pro Hac Vice
63	2026-03-13	Amended MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21750142.) Filing fee previously paid on 3/12/2026 filed by Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association, Foundation for Individual Rights and Expression. (Attachments: # 1 Certificate of Good Standing)(Grant, Sarah) (Filed on 3/13/2026) (Entered:	Motion for Pro Hac Vice || Certificate of Good Standing
64	2026-03-13	ORDER by Judge Rita F. Lin granting 63 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/13/2026) (Entered: 03/13/2026)	Order on Motion for Pro Hac Vice
65	2026-03-13	Amended MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21750305.) Filing fee previously paid on 3/12/2026 filed by Cato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association, Foundation for Individual Rights and Expression. (Attachments: # 1 Certificate of Good Standing)(Shah, Sopen) (Filed on 3/13/2026) (Entered: 	Motion for Pro Hac Vice || Certificate of Good Standing
66	2026-03-13	ORDER by Judge Rita F. Lin granting 65 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/13/2026) (Entered: 03/13/2026)	Order on Motion for Pro Hac Vice
67	2026-03-13	Brief of Amici Curiae filed byCato Institute, Chamber of Progress, Electronic Frontier Foundation, First Amendment Lawyers Association, Foundation for Individual Rights and Expression. (Bennett, Addison) (Filed on 3/13/2026) (Entered: 03/13/2026)	Brief
68	2026-03-13	NOTICE of Appearance filed by Anthony Paul Schoenberg on behalf of Former Senior National Security Government Officials (Schoenberg, Anthony) (Filed on 3/13/2026) (Entered: 03/13/2026)	Notice of Appearance/Substitution/Withdrawal of Attorney
69	2026-03-13	NOTICE of Appearance filed by Alexis Jane Loeb on behalf of Former Senior National Security Government Officials (Loeb, Alexis) (Filed on 3/13/2026) (Entered: 03/13/2026)	Notice of Appearance/Substitution/Withdrawal of Attorney
70	2026-03-13	NOTICE of Appearance filed by John Michael Ugai on behalf of Former Senior National Security Government Officials (Ugai, John) (Filed on 3/13/2026) (Entered: 03/13/2026)	Notice of Appearance/Substitution/Withdrawal of Attorney
71	2026-03-13	MOTION to File Amicus Curiae Brief filed by Catholic Moral Theologians and Ethicists. Responses due by 3/27/2026. Replies due by 4/3/2026. (Miller, Matthew) (Filed on 3/13/2026) (Entered: 03/13/2026)	Motion to File Amicus Curiae Brief
72	2026-03-13	Brief of Amici Curiae filed byIndustry Trade Associations. (Parker, Warrington) (Filed on 3/13/2026) (Entered: 03/13/2026)	Brief
73	2026-03-13	MOTION to File Amicus Curiae Brief in Support of Preliminary Injunction filed by ACT The App Association. Motion Hearing set for 3/24/2026 01:30 PM in San Francisco, Courtroom 15, 18th Floor before Judge Rita F. Lin. Responses due by 3/17/2026. Replies due by 3/20/2026. (O'Brien, William) (Filed on 3/13/2026) (Entered: 03/13/2026)	Motion to File Amicus Curiae Brief
74	2026-03-13	Brief re 6 MOTION for Temporary Restraining Order MOTION for Preliminary Injunction MOTION to Stay Pursuant to Section 705, 55 Order on Motion to File Amicus Curiae Brief,,,, Order on Administrative Motion per Civil Local Rule 7-11,,,,, (Amici Brief) filed byFormer Senior National Security Government Officials. (Related document(s) 6, 55 ) (Loeb, Alexis) (Filed on 3/13/2026) (Entered: 03/13/2026)	Brief
75	2026-03-13	Brief re 55 Order on Motion to File Amicus Curiae Brief,,,, Order on Administrative Motion per Civil Local Rule 7-11,,,,, Brief of Amicus Curiae filed byMicrosoft Corporation. (Related document(s) 55 ) (Parker, Warrington) (Filed on 3/13/2026) (Entered: 03/13/2026)	Brief
76	2026-03-13	NOTICE of Appearance filed by William Fred Norton on behalf of Freedom Economy Business Association (Norton, William) (Filed on 3/13/2026) (Entered: 03/13/2026)	Notice of Appearance/Substitution/Withdrawal of Attorney
77	2026-03-13	ADMINISTRATIVE MOTION for FOR LEAVE TO FILE BRIEF OF AMICI CURIAE FREEDOM ECONOMY BUSINESS ASSOCIATION AND OTHER VALUES-LED INVESTORS IN SUPPORT OF PLAINTIFFS MOTION FOR PRELIMINARY INJUNCTION filed by Freedom Economy Business Association. Responses due by 3/17/2026. (Attachments: # 1 Exhibit Amici Curiae Brief, # 2 Proposed Order)(Norton, William) (Filed on 3/13/2026) (Entered: 03/13/2026)	Administrative Motion per Civil Local Rule 7-11 || Exhibit Amici Curiae Brief || Proposed Order
78	2026-03-13	***ERRONEOUSLY E-FILED, DISREGARD SEE DOC 80 *** MOTION to File Amicus Curiae Brief filed by Anthropic PBC. Responses due by 3/27/2026. Replies due by 4/3/2026. (Leyton, Stacey) (Filed on 3/13/2026) Modified on 3/18/2026 (far, COURT STAFF). (Entered: 03/13/2026)	Motion to File Amicus Curiae Brief
79	2026-03-13	***ERRONEOUSLY E-FILED, DISREGARD SEE DOC 80 *** Amicus Curiae APPEARANCE entered by Stacey M. Leyton on behalf of American Federation of Government Employees. (Leyton, Stacey) (Filed on 3/13/2026) Modified on 3/18/2026 (far, COURT STAFF). (Entered: 03/13/2026)	Amicus Curiae Appearance
80	2026-03-13	Brief Amicus Curiae filed byAmerican Federation of Government Employees. (Leyton, Stacey) (Filed on 3/13/2026) (Entered: 03/13/2026)	Brief
81	2026-03-13	MOTION for leave to appear in Pro Hac Vice of Sharmistha Das ( Filing fee $ 328, receipt number ACANDC-21738767.) Filing fee previously paid on 03/10/2026 filed by Industry Trade Associations. (Das, Sharmistha) (Filed on 3/13/2026) (Entered: 03/13/2026)	Motion for Pro Hac Vice
82	2026-03-13	Third Party MOTION to File Amicus Curiae Brief in Favor of Neither Party filed by Abolitionist Law Center. Responses due by 3/27/2026. Replies due by 4/3/2026. (Doost, Sadaf) (Filed on 3/13/2026) (Entered: 03/13/2026)	Motion to File Amicus Curiae Brief
83	2026-03-13	Brief Corrected Amicus Curiae Brief filed byCatholic Moral Theologians and Ethicists. (Miller, Matthew) (Filed on 3/13/2026) (Entered: 03/13/2026)	Brief
84	2026-03-13	ORDER by Judge Rita F. Lin granting 71, 73, 77, and 82 Motions to File Amicus Curiae Briefs. The 80 Brief Amicus Curiae filed by American Federation of Government Employees is also accepted. The 78 Motion to File Amicus Curiae Brief is terminated as moot. (This is a text-only entry generated by the court. There is no document associated with this entry.) (rfllc3, COURT STAFF) (Filed on 3/13/2026) 	Order on Motion to File Amicus Curiae Brief
85	2026-03-14	MOTION for leave to appear in Pro Hac Vice ( Filing fee $ 328, receipt number ACANDC-21756529.) filed by Former Senior National Security Government Officials. (Attachments: # 1 Exhibit Certificate of Good Standing)(Swartz, Bruce) (Filed on 3/14/2026) (Entered: 03/14/2026)	Motion for Pro Hac Vice || Exhibit Certificate of Good Standing
86	2026-03-16	NOTICE of Appearance filed by Christian Dibblee on behalf of Paul S. Atkins, Scott Bessent, Frank J. Bisigano, Mary Anne Carter, Douglas A. Collins, Executive Office of the President, Federal Housing Finance Agency, Federal Reserve Board of Governors, Edward C. Forst, General Services Administration, Peter B. Hegseth, Jared Isaacman, Robert F. Kennedy, Jr, Scott Kupor, Howard Lutnick, National Aer	Notice of Appearance/Substitution/Withdrawal of Attorney
87	2026-03-16	ORDER by Judge Rita F. Lin granting 81 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/16/2026) (Entered: 03/16/2026)	Order on Motion for Pro Hac Vice
88	2026-03-16	ORDER by Judge Rita F. Lin granting 85 Motion for Pro Hac Vice. (afm, COURT STAFF) (Filed on 3/16/2026) (Entered: 03/16/2026)	Order on Motion for Pro Hac Vice
89	2026-03-16	MOTION for leave to appear in Pro Hac Vice of Alexandra Barbee-Garrett ( Filing fee $ 328, receipt number ACANDC-21760191.) filed by Microsoft Corporation. (Barbee-Garrett, Alexandra) (Filed on 3/16/2026) (Entered: 03/16/2026)	Motion for Pro Hac Vice
90	2026-03-16	MOTION for leave to appear in Pro Hac Vice of Alexandra Barbee-Garrett ( Filing fee $ 328, receipt number ACANDC-21760191.) Filing fee previously paid on 03/16/2026 filed by Industry Trade Associations. (Barbee-Garrett, Alexandra) (Filed on 3/16/2026) (Entered: 03/16/2026)	Motion for Pro Hac Vice
91	2026-03-16	MOTION for leave to appear in Pro Hac Vice of Stephanie Crawford ( Filing fee $ 328, receipt number ACANDC-21760479.) filed by Microsoft Corporation. (Crawford, Stephanie) (Filed on 3/16/2026) (Entered: 03/16/2026)	Motion for Pro Hac Vice
92	2026-03-16	MOTION for leave to appear in Pro Hac Vice of Stephanie Crawford (Industry Trade Associations)	Motion for Pro Hac Vice
93	2026-03-16	First MOTION for leave to appear in Pro Hac Vice Katherine Gallagher (Abolitionist Law Center)	Motion for Pro Hac Vice
